HCODE,DOCTYP,TAKER,DST,TRIA,DIRORG,DECAL,DSUNT,NOTES,SEDAT,EXTP,DEPN,COMIT,DSIZE,PORCS,DAREA
1000051B,說明書,姜樹成,臺中市,1000609,都發局,高樓建築,平方公尺,定稿本,1000512,有條件通過環境影響評估,佳茂建設股份有限公司,1000707,1988.38,辦理結案,0.198838
1000051D,環境調查報告,黃亭蓉,新北市,-,縣政府,,,,,審查中,安家國際企業股份有限公司,-,0,,0
1000051E,變更內容對照表,姜樹成,臺中市,1000809,建設局,,,改環差,1000307,其他,建設局,-,0,辦理結案,0
1000051L,差異分析報告,賴易正,苗栗縣,-,苗栗縣政府農業處,,,,0990906,審核修正通過,炳翰育樂股份有限公司,0991203,0,辦理結案,0
1000051R,差異分析報告,賴易正,苗栗縣,-,苗栗縣政府農業處,,,,0990906,審核修正通過,炳翰育樂股份有限公司,0991203,0,辦理結案,0
1000051S,差異分析報告,莊惠如,基隆市,-,,,,,,審核修正通過,安泰商業銀行股份有限公司,1001014,0,辦理結案,0
1000051T,差異分析報告,莊惠如,基隆市,-,,,,,,審核修正通過,安泰商業銀行股份有限公司,1001014,0,辦理結案,0
1000047B,說明書,曾文慧,新竹市,0991022,新竹市政府觀光處,觀光(休閒)飯店、旅(賓)館,平方公尺,,,有條件通過環境影響評估,歐遊國際股份限公司,0991229,2206.33,辦理結案,0
1000044A,說明書,,高雄市,-,高雄市政府工務局,高樓建築,公頃,,,有條件通過環境影響評估,達麗建設事業股份有限公司,1000511,0.298269,辦理結案,0.298269
1000044T,說明書,,高雄市,-,高雄市政府工務局,高樓建築,公頃,,,有條件通過環境影響評估,達麗建設事業股份有限公司,1000511,0.298269,辦理結案,0.298269
1000043F,其他 (評估書+對照表),薛富美,宜蘭縣,1010504,宜蘭縣政府工商旅遊處,,,本件書件為定稿本,1000722,審核修正通過,礁溪遠雄悅來大飯店股份有限公司,-,0,辦理結案,0
1000043R,變更內容對照表,郭殷碩,臺南市,-,臺南市政府,,,,1000526,其他,大進精工股份有限公司,1000715,0,辦理結案,0
1000043W,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041D,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041E,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041L,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041P,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041S,差異分析報告,唐淑蓉,花蓮縣,1000729,花蓮縣政府,,,定稿本,,審核修正通過,花蓮縣環境保護局,-,0,辦理結案,0
1000041X,差異分析報告,潘忠政,臺南市,1010815,臺南市政府農業局,,,,1001227,審核修正通過,臺南市政府農業局,1011204,0,辦理結案,0
1000038C,說明書,高俊璿,新竹縣,1000131,新竹縣政府,新市區建設,公頃,說明書定稿本,0991201,有條件通過環境影響評估,豐邑建設股份有限公司,1000314,0.387403,辦理結案,0.387403
1000037B,說明書,林芳津,苗栗縣,1010412,苗栗縣政府工商發展處,新市區建設,公頃,,1000128,有條件通過環境影響評估,台灣農林股份有限公司,1010719,29.97,辦理結案,29.97
1000034L,說明書,林芳津,苗栗縣,1010412,苗栗縣政府工商發展處,新市區建設,公頃,,1000128,有條件通過環境影響評估,台灣農林股份有限公司,1010719,29.97,辦理結案,29.97
1000034N,說明書,蘇君紋,臺中市,1010111,臺中市政府民政局,殯儀館、骨灰(骸)存放設施,公頃,,1000803,有條件通過環境影響評估,臺中市清水區公所,1010420,4.066,辦理結案,4.066
1000033P,說明書,蘇君紋,臺中市,1010111,臺中市政府民政局,殯儀館、骨灰(骸)存放設施,公頃,,1000803,有條件通過環境影響評估,臺中市清水區公所,1010420,4.066,辦理結案,4.066
1000033V,其他 (評估書+對照表),譚仲萍,屏東縣,1000922,屏東縣政府水利處,,,,1000721,審核修正通過,屏東縣政府,0981130,0,審查中,0
1000031D,環境調查報告,張秀慧,新北市,-,新北市政府,,,,,審查中,裕隆汽車製造股份有限公司,-,0,審查中,0
1000031E,環境調查報告,張秀慧,新北市,-,新北市政府,,,,,審查中,裕隆汽車製造股份有限公司,-,0,審查中,0
1000031F,變更內容對照表,薛富美,宜蘭縣,1000506,宜蘭縣政府民政處,文教建設之開發,,本件書件為定稿本,1000112,審核修正通過,普恩宮籌建委員會,-,1.7895,辦理結案,1.7895
1000031G,變更內容對照表,,高雄市,-,,,,,,審核修正通過,高雄市政府,1000624,0,辦理結案,0
1000031R,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000031S,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000031T,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000031W,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000031X,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000028N,差異分析報告,莊惠如,基隆市,-,基隆市政府都市發展處,,,,1000424,審核修正通過,麗源建設股份有限公司,1000214,0,辦理結案,0
1000027B,差異分析報告,郭殷碩,臺南市,1001226,臺南市政府工務局,,,,1000704,審核修正通過,統樂開發事業股份有限公司,1010518,0,辦理結案,0
1000024C,說明書,高俊璿,新竹縣,1001221,新竹縣政府,新市區建設,公頃,說明書定稿本,1000112,有條件通過環境影響評估,德鑫建設股份有限公司,1000131,0.387436,辦理結案,0.387436
1000024D,說明書,賴易正,苗栗縣,1001018,苗栗縣政府工商發展處,工商綜合區開發、購物專用區、大型購物中心之興建,公頃,,1000128,有條件通過環境影響評估,台灣農林股份有限公司,1010301,15.89,辦理結案,15.89
1000024X,說明書,賴易正,苗栗縣,1001018,苗栗縣政府工商發展處,工商綜合區開發、購物專用區、大型購物中心之興建,公頃,,1000128,有條件通過環境影響評估,台灣農林股份有限公司,1010301,15.89,辦理結案,15.89
1000023P,說明書,蘇君紋,臺中市,1000621,台中市政府地政局,新市區建設,,環說書為初稿,,審查中,台中市霧峰區亞洲自辦農村社區土地重劃區重劃會,-,0,初審中,0
1000023R,說明書,蘇君紋,臺中市,1000621,台中市政府地政局,新市區建設,,環說書為初稿,,審查中,台中市霧峰區亞洲自辦農村社區土地重劃區重劃會,-,0,初審中,0
1000023V,變更內容對照表,賴易正,苗栗縣,1000114,苗栗縣政府工商發展處,,,,0991214,審核修正通過,廣源電子股份有限公司,1000920,0,辦理結案,0
1000023W,變更內容對照表,陳正光,彰化縣,1010229,彰化縣環境保護局,,,,1001208,審核修正通過,榮寶企業股份有限公司,-,0,辦理結案,0
1000021E,變更內容對照表,陳正光,彰化縣,1010229,彰化縣環境保護局,,,,1001208,審核修正通過,榮寶企業股份有限公司,-,0,辦理結案,0
1000021F,變更內容對照表,譚仲萍,屏東縣,-,屏東縣政府衛生局,,,,0991222,審核修正通過,屏安醫院,1000113,0,審查中,0
1000021G,差異分析報告,唐淑蓉,花蓮縣,1001024,花蓮縣政府,,,,,審核修正通過,花蓮縣秀林鄉公所,-,0,辦理結案,0
1000021L,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000021S,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000021Z,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000017B,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000014C,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000014F,差異分析報告,姜樹成,臺中市,0991223,都發局,,,定稿本,,審核修正通過,碧根開發建設股份有限公司,-,0,辦理結案,0
1000014H,差異分析報告,吳俊達,臺北市,-,臺北市建築管理處,,,,,審核修正通過,國泰人壽保險股份有限公司,-,0,辦理結案,0
1000014N,說明書,周韋儒,桃園縣,-,桃園縣政府（環境保護局）,環境保護工程之興建,公頃,,1000503,有條件通過環境影響評估,堡富興業股份有限公司,1000929,0.234712,辦理結案,0.234712
1000013L,說明書,蘇君紋,臺中市,1010115,臺中市政府環境保護局,環境保護工程之興建,公頃,環說書為定稿,1000603,有條件通過環境影響評估,全精英事業有限公司,1010420,0.9383,辦理結案,0.9383
1000013P,說明書,蘇君紋,臺中市,1010115,臺中市政府環境保護局,環境保護工程之興建,公頃,環說書為定稿,1000603,有條件通過環境影響評估,全精英事業有限公司,1010420,0.9383,辦理結案,0.9383
1000013R,說明書,張秀靜,南投縣,1010321,南投縣政府觀光處,遊樂區之開發,公頃,本案業經本府環境影響評估委員會101年03月21日會議審核有條件通過,1000829,有條件通過環境影響評估,台灣農林股份有限公司,-,9.8045,預備提會,9.8045
1000013T,說明書,張秀靜,南投縣,1010321,南投縣政府觀光處,遊樂區之開發,公頃,本案業經本府環境影響評估委員會101年03月21日會議審核有條件通過,1000829,有條件通過環境影響評估,台灣農林股份有限公司,-,9.8045,預備提會,9.8045
1000013W,變更內容對照表,石秉鑫,新北市,1000114,交通部,,,本書件為定稿本,0991230,審核修正通過,交通部基隆港務局,1000209,0,辦理結案,0
1000013Z,說明書,何文淵,臺北市,1000520,中研院,園區之開發,公頃,,0991227,有條件通過環境影響評估,中央研究院,1000610,25.31,辦理結案,37.25
1000011D,說明書,何文淵,臺北市,1000520,中研院,園區之開發,公頃,,0991227,有條件通過環境影響評估,中央研究院,1000610,25.31,辦理結案,37.25
1000011G,環境調查報告,黃珮瑜,彰化縣,1020827,經濟部,,,本案與1002006A此案合併召開會議；本書件為確認本,0991217,審核修正通過,經濟部工業局,1030108,0,完成審查,0
1000011I,差異分析報告,鄭惠文,臺中市,1000513,經濟部工業局,,,,0880120,審核修正通過,台灣肥料股份有限公司,1000708,0,辦理結案,0
1000011J,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
1000011S,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
1000011U,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
1000011V,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
1000011X,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
0991824A,差異分析報告,張同婉,臺中市,1000104,教育部,,,,0991221,審核修正通過,嶺東科技大學,1000323,0,辦理結案,0
0991811A,變更內容對照表,石秉鑫,花蓮縣,1000928,行政院衛生署,,,本書件為定稿本,0991217,審核修正通過,行政院衛生署玉里醫院,1001014,0,辦理結案,0
0991807A,變更內容對照表,石秉鑫,高雄市,1000315,經濟部,,,本書件為定稿本,0991214,審核修正通過,台灣中油股份有限公司,1000323,0,辦理結案,0
0991794A,變更內容對照表,石秉鑫,新北市,0991228,交通部,,,本書件為定稿本,0991210,審核修正通過,交通部公路總局,1000107,0,辦理結案,0
0991783A,變更內容對照表,石秉鑫,新北市,0991228,交通部,,,本書件為定稿本,0991210,審核修正通過,交通部公路總局,1000107,0,辦理結案,0
0991773A,說明書,鄭惠文,桃園縣,1001117,經濟部,園區之開發,公頃,,0991207,有條件通過環境影響評估,桃園縣政府,1001223,58.54,辦理結案,58.54
0991763A,說明書,鄭惠文,桃園縣,1001117,經濟部,園區之開發,公頃,,0991207,有條件通過環境影響評估,桃園縣政府,1001223,58.54,辦理結案,58.54
0991754A,說明書,張同婉,嘉義縣,0991227,行政院國科會,文教建設之開發,公頃,,0991123,有條件通過環境影響評估,國立中央大學,1000323,0.04,辦理結案,0.04
0991744A,變更內容對照表,邱景昆,嘉義縣,0991129,經濟部工業局,,,本書件為定稿本,0991119,審核修正通過,嘉義縣政府,1000107,0,辦理結案,0
0991734A,變更內容對照表,邱景昆,嘉義縣,0991129,經濟部工業局,,,本書件為定稿本,0991119,審核修正通過,嘉義縣政府,1000107,0,辦理結案,0
0991724A,變更內容對照表,張盈瑄,臺灣地區,1000428,交通部,,,本書件為定稿本,0991111,審核修正通過,交通部臺中港務局,1000610,0,辦理結案,0
0991711A,差異分析報告,溫育勇,臺北市,0991206,交通部,,,,0991105,審核修正通過,臺北市政府捷運工程局,1000729,0,辦理結案,0
0991701A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991698A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991684A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991670A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991664A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991651A,說明書,楊智凱,苗栗縣,1010116,交通部觀光局,遊樂區之開發,公頃,,0991028,有條件通過環境影響評估,苗栗縣政府,1010604,18.8592,辦理結案,18.8592
0991644A,變更內容對照表,石秉鑫,臺北市,-,內政部營建署,,,本書件為定稿本,,審核修正通過,臺北市政府工務局,-,0,辦理結案,0
0991634A,差異分析報告,何文淵,桃園縣,0991130,經濟部能源局,,,,0991029,審核修正通過,華亞汽電股份有限公司,1000209,0,辦理結案,0
0991624A,變更內容對照表,石秉鑫,基隆市,0991124,教育部,,,本書件為定稿本,0991028,審核修正通過,國立台灣科技大學,0991201,0,辦理結案,0
0991613A,變更內容對照表,石秉鑫,基隆市,0991124,教育部,,,本書件為定稿本,0991028,審核修正通過,國立台灣科技大學,0991201,0,辦理結案,0
0991601A,差異分析報告,何文淵,雲林縣,0991206,經濟部工業局,,,,0991026,審核修正通過,長春石油化學股份有限公司、大連化學工業股份有限公司、長春人造樹脂廠股份有限公司,1000323,0,辦理結案,0
0991591A,差異分析報告,何文淵,雲林縣,0991206,經濟部工業局,,,,0991026,審核修正通過,長春石油化學股份有限公司、大連化學工業股份有限公司、長春人造樹脂廠股份有限公司,1000323,0,辦理結案,0
0991584A,變更內容對照表,石秉鑫,桃園縣,0991026,交通部,,,本書件為定稿本,0991015,審核修正通過,交通部台灣鐵路管理局,0991029,0,辦理結案,0
0991573A,變更內容對照表,邱景昆,臺南市,0991117,經濟部工業局,,,本書件為定稿本,0991018,審核修正通過,經濟部工業局,1000503,0,辦理結案,0
0991563A,變更內容對照表,邱景昆,臺南市,0991117,經濟部工業局,,,本書件為定稿本,0991018,審核修正通過,經濟部工業局,1000503,0,辦理結案,0
0991554A,差異分析報告,鄭惠文,宜蘭縣,1000303,經濟部礦務局,,,,0991018,審核修正通過,宜蘭大理石股份有限公司,1000503,0,辦理結案,0
0991543A,說明書,張瑞芸,臺灣地區,0991101,交通部,道路之開發,公里,,0991008,有條件通過環境影響評估,交通部公路總局,0991109,38.4,辦理結案,0
0991533A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991523A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991514A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991503A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991494A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991484A,變更內容對照表,陳妙玲,嘉義縣,-,行政院衛生署,,,本書件為初稿本,0990913,審查中,財團法人佛教慈濟綜合醫院,-,0,審查中,0
0991474A,說明書,鄭惠文,臺中市,1000523,內政部,道路之開發,公尺,,0990914,有條件通過環境影響評估,內政部營建署,1000729,2700,辦理結案,0
0991463A,變更內容對照表,陳妙玲,臺中縣,0991008,經濟部工業局,,,本書件為定稿本,0990402,審核修正通過,貝民股份有限公司,1000107,0,辦理結案,0
0991453A,變更內容對照表,石秉鑫,新北市,1000114,交通部,,,本書件為定稿本,0990920,審核修正通過,交通部基隆港務局,1000209,0,辦理結案,0
0991441A,變更內容對照表,石秉鑫,新北市,1000114,交通部,,,本書件為定稿本,0990920,審核修正通過,交通部基隆港務局,1000209,0,辦理結案,0
0991433A,變更內容對照表,陳妙玲,桃園縣,0991021,內政部營建署,,,本書件為定稿本,0990920,審核修正通過,林隆存,0991029,0,辦理結案,0
0991424A,變更內容對照表,陳妙玲,桃園縣,0991021,內政部營建署,,,本書件為定稿本,0990920,審核修正通過,林隆存,0991029,0,辦理結案,0
0991411A,說明書,楊智凱,南投縣,1011122,交通部觀光局,觀光(休閒)飯店、旅(賓)館,平方公尺,,0990825,通過環境影響評估審查,駿都觀光事業股份有限公司,1020619,50.768,辦理結案,0
0991400A,說明書,楊智凱,臺中市,1021004,經濟部,供水、抽水或引水工程之開發,公噸,本書件為修訂本,0990824,認定不應開發,台灣自來水股份有限公司,1021113,800000,辦理結案,33.2
0991394A,說明書,楊智凱,臺中市,1021004,經濟部,供水、抽水或引水工程之開發,公噸,本書件為修訂本,0990824,認定不應開發,台灣自來水股份有限公司,1021113,800000,辦理結案,33.2
0991384A,說明書,溫育勇,新竹縣,1001028,交通部觀光局,觀光(休閒)飯店、旅(賓)館,公頃,,0990823,有條件通過環境影響評估,吳亦猛,1010430,7.06405,辦理結案,7.06405
0991374A,變更內容對照表,陳妙玲,彰化縣,0990916,內政部營建署,,,本書件為初稿本,0990812,不同意變更,榮民工程股份有限公司,-,0,預備提會,0
0991364A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991353A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991343A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991333A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991324A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991311A,說明書,何文淵,苗栗縣,0991230,交通部,道路之開發,公里,,0990817,有條件通過環境影響評估,交通部公路總局西部濱海公路中區工程處,1000323,8.9,辦理結案,0
0991301A,變更內容對照表,石秉鑫,新北市,0990924,經濟部,,,本書件為定稿本,0990906,審核修正通過,台灣電力股份有限公司,0991029,0,辦理結案,0
0991291A,政策評估說明書,楊智凱,臺灣地區,1010924,經濟部工業局,政策環評,,本書件為修訂本,,作成徵詢意見,經濟部工業局,1020115,0,完成審查,0
0991284A,變更內容對照表,邱景昆,苗栗縣,-,經濟部能源局,,,不實施開發行為,,審核修正通過,中國石油化學工業開發股份有限公司,-,0,辦理結案,0
0991274A,變更內容對照表,邱景昆,苗栗縣,-,經濟部能源局,,,不實施開發行為,,審核修正通過,中國石油化學工業開發股份有限公司,-,0,辦理結案,0
0991264A,變更內容對照表,石秉鑫,高雄市,0990916,經濟部,,,,0990811,審核修正通過,台灣電力股份有限公司,0991029,0,辦理結案,0
0991251A,變更內容對照表,石秉鑫,高雄市,0990916,經濟部,,,,0990811,審核修正通過,台灣電力股份有限公司,0991029,0,辦理結案,0
0991244A,變更內容對照表,陳妙玲,桃園縣,0990909,經濟部工業局,,,本書件為定稿本,0990802,審核修正通過,星華鐘錶工業股份有限公司,0991029,0,辦理結案,0
0991237A,變更內容對照表,張盈瑄,高雄市,1000302,教育部,,,本書件為定稿本,0990730,審核修正通過,國立高雄大學,1000503,0,辦理結案,0
0991220A,變更內容對照表,張盈瑄,高雄市,1000302,教育部,,,本書件為定稿本,0990730,審核修正通過,國立高雄大學,1000503,0,辦理結案,0
0991214A,變更內容對照表,陳妙玲,新北市,0990826,行政院衛生署,,,本書件為初稿本,0990715,審查中,馬偕醫護管理專科學校,-,0,審查中,0
0991204A,政策評估說明書,溫育勇,桃園縣,0991008,內政部營建署,政策環評,,本書件為初稿本,,徵詢意見或補正中,桃園縣政府,-,0,補正後再審,0
0991191A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991184A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991174A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991161A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991154A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991144A,差異分析報告,鄭惠文,臺灣本島,0991216,交通部,,,,0990716,審核修正通過,交通部臺灣區國道高速公路局,1000323,0,辦理結案,0
0991134A,變更內容對照表,石秉鑫,高雄市,0990812,交通部,,,本書件為定稿本,0990715,審核修正通過,交通部高雄港務局,0991029,0,辦理結案,0
0991124A,說明書,何文淵,花蓮縣,1001221,經濟部礦物局,探礦、採礦,公噸,,0990701,有條件通過環境影響評估,利東工礦股份有限公司,1020115,5717005,辦理結案,12.5006
0991114A,變更內容對照表,陳妙玲,臺灣地區,0990603,交通部,,,,0990514,審核修正通過,交通部鐵路改建工程局,0990726,0,辦理結案,0
0991100A,變更內容對照表,陳妙玲,臺灣地區,0990603,交通部,,,,0990514,審核修正通過,交通部鐵路改建工程局,0990726,0,辦理結案,0
0991091A,說明書,鄭惠文,臺灣本島,0990910,教育部,運動場地之開發,公頃,,0990701,有條件通過環境影響評估,國立體育大學,0991029,4.52,辦理結案,4.52
0991083A,說明書,鄭惠文,臺灣本島,0990910,教育部,運動場地之開發,公頃,,0990701,有條件通過環境影響評估,國立體育大學,0991029,4.52,辦理結案,4.52
0991074A,差異分析報告,溫育勇,臺南市,0990910,行政院農業委員會,,,,0990602,審核修正通過,臺南市政府,0991029,0,辦理結案,0
0991061A,差異分析報告,何文淵,桃園縣,0990701,經濟部工業局,,,,0990611,審核修正通過,桃園縣政府、亞朔開發股份有限公司,0990920,0,辦理結案,0
0991051A,差異分析報告,何文淵,桃園縣,0990701,經濟部工業局,,,,0990611,審核修正通過,桃園縣政府、亞朔開發股份有限公司,0990920,0,辦理結案,0
0991044A,差異分析報告,鄭惠文,臺中縣,0991222,教育部,,,,0990609,審核修正通過,臺中市私立光華高級工業職業學校,1000209,0,辦理結案,0
0991031A,變更內容對照表,陳妙玲,桃園縣,1000614,內政部營建署,,,本書件為定稿本,0990512,審核修正通過,吳烈忠,1000729,0,辦理結案,0
0991023A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0991014A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990993A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990983A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990971A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990963A,變更內容對照表,張瑞芸,新竹縣,0990610,行政院國家科學委員會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990953A,變更內容對照表,張瑞芸,新竹縣,0990610,國科會,,,,0990120,審核修正通過,聯華電子股份有限公司,0990726,0,辦理結案,0
0990943A,變更內容對照表,張瑞芸,新竹市,0990610,行政院國家科學委員會,,,,0990118,審核修正通過,敦南科技股份有限公司,0990726,0,辦理結案,0
0990934A,變更內容對照表,張瑞芸,新竹市,0990610,行政院國家科學委員會,,,,0990118,審核修正通過,高平磊晶科技股份有限公司,0990726,0,辦理結案,0
0990924A,變更內容對照表,張瑞芸,新竹市,0990610,行政院國家科學委員會,,,,0990118,審核修正通過,高平磊晶科技股份有限公司,0990726,0,辦理結案,0
0990914A,變更內容對照表,張瑞芸,新竹市,0990610,行政院國家科學委員會,,,,0990118,審核修正通過,茂德科技股份有限公司,0990726,0,辦理結案,0
0990904A,變更內容對照表,張瑞芸,新竹市,0990610,行政院國家科學委員會,,,,0990118,審核修正通過,茂德科技股份有限公司,0990726,0,辦理結案,0
0990894A,其他 (對照表+環差),邱景昆,臺東縣,1021206,交通部觀光局,,,本書件為修訂本,0990531,審查中,東合開發股份有限公司,-,0,補正後再審,0
0990884A,變更內容對照表,邱景昆,苗栗縣,-,經濟部能源局,,,不實施開發行為,,審核修正通過,中國石油化學工業開發股份有限公司,-,0,辦理結案,0
0990874A,變更內容對照表,邱景昆,苗栗縣,-,經濟部能源局,,,不實施開發行為,,審核修正通過,中國石油化學工業開發股份有限公司,-,0,辦理結案,0
0990864A,其他 (環調),石秉鑫,新北市,-,經濟部,,,,0981127,審核修正通過,台灣電力股份有限公司,-,0,,0
0990854A,環境現況差異分析及對策檢討報告,溫育勇,苗栗縣,1000503,內政部營建署,,,,0990426,審核修正通過,海岳建設股份有限公司,1000622,0,辦理結案,0
0990844A,變更內容對照表,邱景昆,宜蘭縣,0990603,經濟部能源局,,,本書件為定稿本,0990510,審核修正通過,臺灣化學纖維股份有限公司龍德廠,0990920,0,辦理結案,0
0990834A,變更內容對照表,邱景昆,宜蘭縣,0990603,經濟部能源局,,,本書件為定稿本,0990510,審核修正通過,臺灣化學纖維股份有限公司龍德廠,0990920,0,辦理結案,0
